Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Sun Aug 26 00:41:48 +0000 2018,The key moments in John McCain's life https://t.co/Zd0RlAAPcv,0.0,1.0,0.0,0.0,63
BBCWorld,Sun Aug 26 00:33:48 +0000 2018,Obituary: John McCain https://t.co/cUKl0efRs2,0.0,1.0,0.0,0.0,64
BBCWorld,Sun Aug 26 00:28:23 +0000 2018,US Senator John McCain dies aged 81 https://t.co/Sge1AtsTtk,0.0,1.0,0.0,0.0,65
BBCWorld,Sat Aug 25 23:40:43 +0000 2018,Colombia hopes a referendum will help root out corruption https://t.co/V3qCSVeesN,0.44,0.56,0.0,0.6705,66
BBCWorld,Sat Aug 25 23:38:16 +0000 2018,Asian Games: India's elderly bridge players aim for glory https://t.co/HuwxrXBFgD,0.28,0.72,0.0,0.5423,67
BBCWorld,Sat Aug 25 23:26:39 +0000 2018,Costa Rica march in solidarity with Nicaraguan migrants https://t.co/tfk2mO5ipl,0.216,0.784,0.0,0.296,68
BBCWorld,Sat Aug 25 20:19:45 +0000 2018,Italy migrant row: UN calls for 'urgent' end to ship stand-off https://t.co/cKIk31dwvL,0.0,1.0,0.0,0.0,69
BBCWorld,Sat Aug 25 19:48:21 +0000 2018,Turkey police fire tear gas at mothers' protest https://t.co/Q4mZmg15ae,0.0,0.614,0.386,-0.5267,70
BBCWorld,Sat Aug 25 19:09:05 +0000 2018,Papal visit: How Ireland received Pope Francis https://t.co/a3teMPn9I9,0.0,1.0,0.0,0.0,71
BBCWorld,Sat Aug 25 17:50:13 +0000 2018,"Pope Francis speaks out against the ""grave scandal"" of clerical sex abuse, during his two-day visit to Ireland… https://t.co/amtEQKDV3C",0.0,0.623,0.377,-0.8658,72
BBCWorld,Sat Aug 25 17:13:34 +0000 2018,RT @BBCNews: Egypt hotel deaths: 'No toxic gas in UK couple's room' https://t.co/supuiwPMJS,0.0,0.845,0.155,-0.296,73
BBCWorld,Sat Aug 25 17:13:16 +0000 2018,"'Measles can cause blindness, brain damage or even death'

Cases of measles have hit record levels in Europe, exper… https://t.co/EBGCliFCtZ",0.0,0.717,0.283,-0.7964,74
BBCWorld,Sat Aug 25 16:56:01 +0000 2018,Why Nordic countries might not be as happy as you think https://t.co/8iSAdTrkku,0.0,0.786,0.214,-0.4585,75
BBCWorld,Sat Aug 25 15:47:46 +0000 2018,"Yellowstone National Park: Boy, 10, survives grizzly bear attack https://t.co/5xz2xLw4Np",0.0,0.744,0.256,-0.4767,76
BBCWorld,Sat Aug 25 15:25:42 +0000 2018,Zimbabwe election: Opposition rejects court ruling on result https://t.co/XAlZUdNVwR,0.0,0.714,0.286,-0.4939,77
BBCWorld,Sat Aug 25 15:21:35 +0000 2018,"""The world needs a revolution of love""

Pope Francis remarks on rise of ""personal interest and selfishness"" as he s… https://t.co/kOf3oTidrH",0.268,0.632,0.1,0.6705,78
BBCWorld,Sat Aug 25 13:46:27 +0000 2018,US North Korea visit: China says Trump criticism is 'irresponsible' https://t.co/4PYFIRo3h4,0.0,0.775,0.225,-0.4404,79
BBCWorld,Sat Aug 25 13:44:42 +0000 2018,RT @BBCNews: Serena Williams: French Open bans 'superhero' catsuit from next year https://t.co/OuINu577Rd,0.0,1.0,0.0,0.0,80
BBCWorld,Sat Aug 25 13:44:11 +0000 2018,RT @BBCNews: Venezuela migrant crisis: Peru tightens border controls https://t.co/lAXlUZc8a9,0.0,0.687,0.313,-0.6249,81
BBCWorld,Sat Aug 25 13:06:22 +0000 2018,YouTuber McSkillet among three dead in 'wrong way' crash https://t.co/XVoYdSEgDu,0.0,0.409,0.591,-0.8779,82
BBCWorld,Sat Aug 25 12:23:05 +0000 2018,Venezuela migrant crisis: Peru tightens border controls https://t.co/UNaSItnyNY,0.0,0.631,0.369,-0.6249,83
BBCWorld,Sat Aug 25 12:19:19 +0000 2018,"Pope Francis says he shares the pain and shame of the Catholic community at what he called the ""grave scandal"" of c… https://t.co/1xTxY2tLUO",0.069,0.561,0.371,-0.8658,84
BBCWorld,Sat Aug 25 11:59:10 +0000 2018,"RT @BBCNewsNI: .@Pontifex tells dignitaries in Dublin Castle that failure of Church to deal with clerical child abuse ""remains a source of…",0.059,0.664,0.277,-0.7845,85
BBCWorld,Sat Aug 25 11:49:26 +0000 2018,"Irish PM Leo Varadkar asks Pope Francis to ""use his office and influence"" to bring ""justice, truth and healing"" to… https://t.co/4a02EcK0E3",0.103,0.897,0.0,0.3182,86
BBCWorld,Sat Aug 25 11:37:25 +0000 2018,Follow live reporting: https://t.co/Y43EdhR4ci #PopeInIreland https://t.co/Vm8pptSlyM,0.0,1.0,0.0,0.0,87
BBCWorld,Sat Aug 25 11:32:56 +0000 2018,Abandoned tiger and lion cubs frolic with puppies at Beijing zoo https://t.co/pZe5ganjs6,0.0,0.786,0.214,-0.4588,88
BBCWorld,Sat Aug 25 11:13:10 +0000 2018,"RT @BBCSport: This man disrespected himself, his wife, the fans and me.""

Boxer Curtis Harper walked out of the ring immediately after the…",0.0,0.88,0.12,-0.4588,89
BBCWorld,Sat Aug 25 11:00:40 +0000 2018,"RT @BBCWorld: ""I still feel she's going to come back to me""

A mother's heartbreak after her daughter was killed in the Kerala floods https…",0.0,0.728,0.272,-0.8481,90
BBCWorld,Sat Aug 25 11:00:25 +0000 2018,"""I still feel she's going to come back to me""

A mother's heartbreak after her daughter was killed in the Kerala fl… https://t.co/bIZNZLQPHC",0.0,0.709,0.291,-0.8481,91
BBCWorld,Sat Aug 25 10:35:50 +0000 2018,"Rohingya girls in danger: Teenage bride, missing daughter, sex worker 

Warning: upsetting content… https://t.co/0MlbyEdQcx",0.0,0.474,0.526,-0.8779,92
BBCWorld,Sat Aug 25 10:20:24 +0000 2018,Rohingya refugees protest Myanmar crackdown anniversary https://t.co/qVVD3XJRQs,0.0,0.75,0.25,-0.25,93
BBCWorld,Sat Aug 25 10:17:01 +0000 2018,Prince death: Singer's family sues doctor over opioid addiction https://t.co/Nuwxv4zcsz,0.0,0.698,0.302,-0.5994,94
BBCWorld,Sat Aug 25 09:52:35 +0000 2018,"Pope Francis begins first papal visit to Ireland in nearly 40 years

Follow live reporting: https://t.co/Y43EdhzsNI… https://t.co/ykRXUbIcl1",0.0,1.0,0.0,0.0,95
